Workload|iterations|run-time|cpu-cycles|instructions|ref-cycles|page-faults|branches|branch-misses|LLC-load-misses|L1-dcache-load-misses|cache-misses
dfadd | 310 | 0.146254485 | 500453294 | 553257291 | 302002688 | 1575085 | 114824003 | 2051517 | 41080 | 8918784 | 1575085
dfadd | 320 | 0.153499905 | 520413173 | 582614274 | 318116968 | 1509184 | 120731205 | 2120557 | 45629 | 9225166 | 1509184
dfadd | 330 | 0.154435782 | 546909008 | 600561095 | 334174984 | 1741250 | 124563335 | 2206016 | 58260 | 9664849 | 1741250
dfadd | 340 | 0.166299774 | 565268922 | 610181960 | 348282584 | 2648243 | 126724389 | 2195552 | 119398 | 9731105 | 2648243
dfadd | 350 | 0.168311294 | 575399207 | 630726434 | 359246992 | 2115382 | 130926626 | 2359465 | 71646 | 10115620 | 2115382
dfadd | 360 | 0.175198951 | 581419412 | 656177221 | 354405064 | 1654091 | 136058452 | 2402292 | 49032 | 10427541 | 1654091
dfadd | 370 | 0.184941614 | 589944559 | 671489241 | 362633440 | 1715558 | 139379502 | 2443346 | 51857 | 10584962 | 1715558
dfadd | 380 | 0.187854899 | 628080923 | 689576805 | 386460568 | 2537147 | 143002062 | 2558921 | 101679 | 10996753 | 2537147
dfadd | 390 | 0.188565469 | 627720297 | 702974519 | 380181880 | 1795301 | 145933058 | 2679634 | 51589 | 11130126 | 1795301
dfadd | 400 | 0.195444323 | 642927421 | 718016382 | 393300960 | 2031333 | 148987253 | 2586969 | 61633 | 11456201 | 2031333
dfadd | 410 | 0.208252168 | 689970164 | 737902856 | 424799544 | 3151291 | 153139272 | 2648461 | 137262 | 11803822 | 3151291
dfadd | 420 | 0.201617544 | 679359622 | 745127680 | 413511696 | 2093825 | 154704950 | 2857990 | 69102 | 12057484 | 2093825
dfadd | 430 | 0.206402946 | 692409530 | 778161044 | 424980816 | 2296989 | 161333781 | 2821298 | 67483 | 12302342 | 2296989
dfadd | 440 | 0.213310771 | 719418421 | 795770947 | 439222784 | 2326324 | 164914245 | 2883459 | 78828 | 12846472 | 2326324
dfadd | 450 | 0.216695252 | 734795957 | 809980030 | 450202480 | 2400201 | 168178663 | 3009326 | 74526 | 12939021 | 2400201
dfadd | 460 | 0.219225759 | 743289359 | 839155006 | 456951768 | 2334627 | 173921230 | 3020470 | 78914 | 13188318 | 2334627
dfadd | 470 | 0.235815174 | 770233267 | 846960568 | 474117800 | 2633988 | 175728598 | 3094449 | 84073 | 13570817 | 2633988
dfadd | 480 | 0.231217678 | 760213927 | 859165205 | 466855896 | 2124438 | 178353243 | 3233728 | 74620 | 13684777 | 2124438
dfadd | 490 | 0.250073546 | 790334847 | 886986896 | 484219632 | 2435988 | 183918286 | 3239188 | 71988 | 14149638 | 2435988
dfadd | 500 | 0.258659907 | 815424321 | 893980634 | 500223464 | 2504933 | 185713352 | 3366523 | 88279 | 14550278 | 2504933
dfdiv | 10 | 0.00485898 | 17146737 | 18620228 | 11288680 | 105117 | 3739871 | 88611 | 5497 | 300308 | 105117
dfdiv | 20 | 0.008607698 | 33165431 | 34286276 | 19797960 | 143276 | 6900658 | 154688 | 5924 | 573828 | 143276
dfdiv | 30 | 0.012221075 | 47472849 | 50250842 | 29412968 | 186655 | 10122912 | 207169 | 6953 | 857779 | 186655
